init_hand_pos 0 20 0 0 -30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
walk_hand_and_arm_pose 0 20 0 0 -30 0 0 0 20 0 0 -30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hand_pose0 2000 20 0 0 -30 0 0 0 0 0 0 -60 -10 0 -30 0 0 0 0 0 0 0 0 0 0 0 0
hand_pose1 6000 20 0 0 -30 0 0 0 0 0 -20 -60 -10 0 -30 0 0 0 0 0 0 0 0 0 0 0 0
hand_pose2 9000 0 0 -10 -70 0 0 -30 0 0 10 -70 0 0 -30 0 0 0 0 0 0 0 0 0 0 0 0
hand_pose3 13000 -10 20 18 -90 90 0 0 -10 -30 -20 -90 -90 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hand_pose4 15000 20 0 0 -30 0 0 0 20 0 0 -30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0





